season,name_player,position_player,date_of_birth,N_games_left,N_games_center,N_games_right,nationality_player,height_player,weight_player
2024-25,bremer,Abwehr,1997-03-18 00:00:00,0,8,0,Brasilien,,
2024-25,juan-cabal,Abwehr,2001-01-08 00:00:00,8,0,0,Kolumbien,,
2024-25,manuel-locatelli,Mittelfeld,1998-01-08 00:00:00,0,21,0,Italien,,
2024-25,khephren-thuram,Mittelfeld,2001-03-26 00:00:00,1,12,1,Frankreich,,
2024-25,timothy-weah,Mittelfeld,2000-02-22 00:00:00,3,2,4,USA,,
2024-25,kenan-yildiz,Sturm,2005-05-04 00:00:00,19,3,0,Türkei,,
2024-25,samuel-mbangula-tshifunda,Sturm,2004-01-16 00:00:00,5,0,0,Belgien,,
2024-25,dusan-vlahovic,Sturm,2000-01-28 00:00:00,0,23,0,Serbien,,
2024-25,nicolo-savona,Abwehr,2003-03-19 00:00:00,0,0,15,Italien,,
2024-25,nicolo-fagioli,Mittelfeld,2001-02-12 00:00:00,0,8,0,Italien,,
2024-25,douglas-luiz,Mittelfeld,1998-05-09 00:00:00,1,1,0,Brasilien,,
2024-25,jose-manuel-reina,Tor,1982-08-31 00:00:00,0,10,0,Spanien,,
2024-25,alberto-moreno,Abwehr,1992-07-05 00:00:00,14,0,1,Spanien,,
2024-25,edoardo-goldaniga,Abwehr,1993-11-02 00:00:00,0,5,6,Italien,,
2024-25,federico-barba,Abwehr,1993-09-01 00:00:00,1,4,0,Italien,,
