season,name_player,position_player,date_of_birth,N_games_left,N_games_center,N_games_right,nationality_player,height_player,weight_player
2024-25,tuta,Abwehr,1999-07-04 00:00:00,0,18,3,Brasilien,,
2024-25,robin-koch,Abwehr,1996-07-17 00:00:00,0,24,0,Deutschland,,
2024-25,arthur-theate,Abwehr,2000-05-25 00:00:00,17,8,0,Belgien,,
2024-25,ellyes-skhiri,Mittelfeld,1995-05-10 00:00:00,0,15,0,Tunesien,,
2024-25,hugo-larsson,Mittelfeld,2004-06-27 00:00:00,0,17,0,Schweden,,
2024-25,mario-goetze,Mittelfeld,1992-06-03 00:00:00,2,3,8,Deutschland,,
2024-25,fares-chaibi,Mittelfeld,2002-11-28 00:00:00,6,2,1,Algerien,,
2024-25,omar-marmoush,Sturm,1999-02-07 00:00:00,3,18,1,Ägypten,,
2024-25,hugo-ekitike,Sturm,2002-06-20 00:00:00,1,17,1,Frankreich,,
2024-25,niels-nkounkou,Abwehr,2000-11-01 00:00:00,10,0,0,Frankreich,,
2024-25,igor-matanovic-2,Sturm,2003-03-31 00:00:00,0,10,0,Kroatien,,
2024-25,oscar-hoejlund,Mittelfeld,2005-01-04 00:00:00,0,1,0,Dänemark,,
2024-25,can-uzun,Sturm,2005-11-11 00:00:00,1,1,1,Türkei,,
2024-25,ansgar-knauff,Mittelfeld,2002-01-10 00:00:00,3,0,7,Deutschland,,
2024-25,kamil-grabara,Tor,1999-01-08 00:00:00,0,18,0,Polen,,
2024-25,kilian-fischer,Abwehr,2000-10-12 00:00:00,0,0,15,Deutschland,,
2024-25,sebastiaan-bornauw,Abwehr,1999-03-22 00:00:00,0,8,0,Belgien,,
2024-25,cedric-zesiger,Abwehr,1998-06-24 00:00:00,1,5,0,Schweiz,,
2024-25,jakub-kaminski,Mittelfeld,2002-06-05 00:00:00,8,0,3,Polen,,
2024-25,maximilian-arnold,Mittelfeld,1994-05-27 00:00:00,0,16,0,Deutschland,,
2024-25,mattias-svanberg,Mittelfeld,1999-01-05 00:00:00,0,7,1,Schweden,,
2024-25,ridle-baku,Mittelfeld,1998-04-08 00:00:00,0,0,17,Deutschland,,
2024-25,lovro-majer,Mittelfeld,1998-01-17 00:00:00,1,2,1,Kroatien,,
2024-25,tiago-tomas,Sturm,2002-06-16 00:00:00,10,3,1,Portugal,,
2024-25,patrick-wimmer,Mittelfeld,2001-05-30 00:00:00,3,12,0,Österreich,,
2024-25,kevin-behrens,Sturm,1991-02-03 00:00:00,0,0,0,Deutschland,,
2024-25,yannick-gerhardt,Mittelfeld,1994-03-13 00:00:00,1,3,0,Deutschland,,
2024-25,jonas-wind,Sturm,1999-02-07 00:00:00,0,7,0,Dänemark,,
2024-25,manuel-neuer,Tor,1986-03-27 00:00:00,0,19,0,Deutschland,,
2024-25,sacha-boey,Abwehr,2000-09-13 00:00:00,0,0,3,Frankreich,,
2024-25,min-jae-kim,Abwehr,1996-11-15 00:00:00,0,24,0,Südkorea,,
2024-25,dayot-upamecano,Abwehr,1998-10-27 00:00:00,0,23,1,Frankreich,,
2024-25,alphonso-davies,Abwehr,2000-11-02 00:00:00,19,0,0,Kanada,,
2024-25,joshua-kimmich,Mittelfeld,1995-02-08 00:00:00,0,24,6,Deutschland,,
2024-25,aleksandar-pavlovic,Mittelfeld,2004-05-03 00:00:00,0,12,0,Deutschland,,
2024-25,michael-olise,Mittelfeld,2001-12-12 00:00:00,0,4,17,Frankreich,,
2024-25,jamal-musiala,Mittelfeld,2003-02-26 00:00:00,3,19,0,Deutschland,,
2024-25,serge-gnabry,Mittelfeld,1995-07-14 00:00:00,8,1,6,Deutschland,,
2024-25,harry-kane,Sturm,1993-07-28 00:00:00,0,23,0,England,,
2024-25,thomas-mueller,Mittelfeld,1989-09-13 00:00:00,0,7,0,Deutschland,,
2024-25,kingsley-coman,Mittelfeld,1996-06-13 00:00:00,9,0,0,Frankreich,,
2024-25,eric-dier,Abwehr,1994-01-15 00:00:00,0,2,0,England,,
2024-25,nikola-vasilj,Tor,1995-12-02 00:00:00,0,22,0,Bosnien-Herzegowina,,
2024-25,hauke-wahl,Abwehr,1994-04-15 00:00:00,0,1,16,Deutschland,,
2024-25,eric-smith,Abwehr,1997-01-08 00:00:00,0,16,0,Schweden,,
2024-25,karol-mets,Abwehr,1993-05-16 00:00:00,12,6,0,Estland,,
2024-25,philipp-treu,Abwehr,2000-12-03 00:00:00,13,0,3,Deutschland,,
2024-25,jackson-irvine,Mittelfeld,1993-03-07 00:00:00,0,17,0,Australien,,
2024-25,lars-ritzka,Abwehr,1998-05-07 00:00:00,5,0,0,Deutschland,,
2024-25,robert-wagner-2,Mittelfeld,2003-07-14 00:00:00,0,3,4,Deutschland,,
2024-25,connor-metcalfe,Mittelfeld,1999-11-05 00:00:00,3,0,0,Australien,,
2024-25,johannes-eggestein,Sturm,1998-05-08 00:00:00,0,17,0,Deutschland,,
2024-25,morgan-guilavogui,Sturm,1998-03-10 00:00:00,6,4,3,Guinea,,
2024-25,oladapo-afolayan,Sturm,1997-09-11 00:00:00,4,0,8,England,,
2024-25,manolis-saliakas,Abwehr,1996-09-12 00:00:00,0,0,13,Griechenland,,
2024-25,carlo-boukhalfa,Mittelfeld,1999-05-03 00:00:00,1,10,0,Deutschland,,
2024-25,elias-saad,Sturm,1999-12-27 00:00:00,3,0,0,Tunesien,,
2024-25,kevin-mueller,Tor,1991-03-15 00:00:00,0,22,0,Deutschland,,
2024-25,haktab-omar-traore,Abwehr,1998-02-04 00:00:00,0,0,17,Deutschland,,
2024-25,patrick-mainka,Abwehr,1994-11-06 00:00:00,0,21,2,Deutschland,,
2024-25,benedikt-gimber,Abwehr,1997-02-19 00:00:00,2,15,0,Deutschland,,
2024-25,jonas-foehrenbach,Abwehr,1996-01-26 00:00:00,16,0,0,Deutschland,,
2024-25,lennard-maloney,Mittelfeld,1999-10-08 00:00:00,0,15,2,USA,,
2024-25,jan-schoeppner,Mittelfeld,1999-06-12 00:00:00,3,13,0,Deutschland,,
2024-25,adrian-beck,Mittelfeld,1997-06-09 00:00:00,1,4,5,Deutschland,,
2024-25,paul-wanner,Mittelfeld,2005-12-23 00:00:00,1,13,4,Deutschland,,
2024-25,leonardo-weschenfelder-scienza,Mittelfeld,1998-09-13 00:00:00,12,0,3,Brasilien,,
2024-25,maximilian-breunig,Sturm,2000-08-14 00:00:00,0,5,1,Deutschland,,
2024-25,marvin-pieringer,Sturm,1999-10-04 00:00:00,0,14,0,Deutschland,,
2024-25,sirlord-conteh,Mittelfeld,1996-07-09 00:00:00,0,1,5,Deutschland,,
2024-25,mathias-honsak,Sturm,1996-12-20 00:00:00,5,3,1,Österreich,,
2024-25,luca-kerber,Mittelfeld,2002-03-10 00:00:00,0,6,2,Deutschland,,
2024-25,marnon-busch,Abwehr,1994-12-08 00:00:00,0,0,11,Deutschland,,
2024-25,tom-rothe,Abwehr,2004-10-29 00:00:00,11,0,0,Deutschland,,
2024-25,woo-yeong-jeong,Mittelfeld,1999-09-20 00:00:00,1,0,8,Südkorea,,
2024-25,adam-dzwigala,Abwehr,1995-09-25 00:00:00,0,0,0,Polen,,
2024-25,andreas-albers,Sturm,1990-03-23 00:00:00,0,0,0,Dänemark,,
2024-25,josha-vagnoman,Abwehr,2000-12-11 00:00:00,0,0,17,Deutschland,,
2024-25,el-bilal-toure,Sturm,2001-10-03 00:00:00,0,4,0,Mali,,
2024-25,ramon-hendriks,Abwehr,2001-07-18 00:00:00,4,0,0,Niederlande,,
2024-25,hyunseok-hong,Mittelfeld,1999-06-16 00:00:00,0,4,3,Südkorea,,
2024-25,silvan-widmer,Abwehr,1993-03-05 00:00:00,0,0,3,Schweiz,,
2024-25,aymen-barkok,Mittelfeld,1998-05-21 00:00:00,0,0,0,Marokko,,
2024-25,nikolas-veratschnig,Abwehr,2003-01-24 00:00:00,0,0,0,Österreich,,
2024-25,nnamdi-collins,Abwehr,2004-01-10 00:00:00,0,0,8,Deutschland,,
2024-25,robin-hranac,Abwehr,2000-01-29 00:00:00,0,10,0,Tschechien,,
2024-25,florian-micheler,Mittelfeld,2005-05-17 00:00:00,0,0,0,Österreich,,
2024-25,haris-tabakovic,Sturm,1994-06-20 00:00:00,0,7,0,Bosnien-Herzegowina,,
2024-25,dani-de-wit,Mittelfeld,1998-01-28 00:00:00,0,6,2,Niederlande,,
2024-25,robin-hack,Mittelfeld,1998-08-27 00:00:00,9,0,0,Deutschland,,
2024-25,carl-johansson-2,Abwehr,1994-05-23 00:00:00,0,3,1,Schweden,,
